"Tanase","Florin","0745637291","florin.tanase@yahoo.com",7800,"Roman",25,185,"Atacant","Drept"
"Vinicius","Paulo","0725431579","ViniPaulo@yahoo.com",5500,"Brazilian",37,186,"Fundas","Drept"
"Tarnovanu","Stefan","0739238201","stefftarno@gmail.com",3200,"Roman",21,197,"Portar","Stang"
"Debeljuh","Gabriel","0271928310","DebbGabi@hotmail.com",12000,"Croat",25,188,"Atacant","Drept"
"Olaru","Darius","0728371922","olariudarius@fcsb.ro",7500,"Roman",24,177,"Mijlocas", "Ambele"
"Omrani","Billel","04533249291","omraniplayer@gmail.com",14000,"Francez",28,187,"Atacant","Ambele"
"Petrila","Claudiu","0782831029","petrila2000@fcsb.ro",9000,"Roman",21,176,"Fundas","Drept"
"Bordeianu","Adrian","0756271234","bordeianuadi@gmail.com",10200,"Roman",30,175,"Mijlocas","Ambele"
"Pigliacelli","Mirko","0725172719","mirkkko@craiova.com",8000,"Italian",28,184,"Portar","Ambele"
"Nistor","Dan","0725126182","dannistor@yahoo.com",4500,"Roman",33,172,"Mijlocas","Stang"
"Cretu","Alexandru","0728173618","cretualex@yahoo.com",6000,"Roman",30,189,"Mijlocas","Drept"
"Popescu","Octavian","0721332123","tavipopi@yahoo.com",15000,"Roman",19,180,"Atacant","Ambele"
"Burlacu","Andrei","0736291344","burlacuuu@yahoo.com",2500,"Roman",25,186,"Atacant","Ambele"
"Budescu","Constantin","0725172123","costibudescu@yahoo.com",12400,"Roman",33,186,"Mijlocas","Stang"
"Edjouma","Malcom","0723144124","malcom1996@gmail.com",7000,"Francez",25,191,"Fundas","Drept"
"Demir","Yusuf","0726318291","demiyus@yahoo.com",17000,"Danez",18,189,"Fundas","Stang"
